filename,seed,steps,model
boarding_canons_officers_sailors.png,1367,9,Z-Image-Turbo
boarding_canons_officers_sails.png,1368,9,Z-Image-Turbo
boarding_canons_officers.png,1361,9,Z-Image-Turbo
boarding_canons_sailors.png,1360,9,Z-Image-Turbo
boarding_canons_sails_sailors.png,1366,9,Z-Image-Turbo
boarding_canons_sails.png,1365,9,Z-Image-Turbo
boarding_officers_sailors.png,1363,9,Z-Image-Turbo
boarding_officers_sails_sailors.png,1369,9,Z-Image-Turbo
boarding_officers_sails.png,1364,9,Z-Image-Turbo
boarding_sails_sailors.png,1362,9,Z-Image-Turbo
map_treasure_08.png,1370,9,Z-Image-Turbo
map_treasure_09.png,1371,9,Z-Image-Turbo
map_treasure_10.png,1372,9,Z-Image-Turbo
